distance,distanceNum
95.422,1
6.208,1
6.211,1
6.212,1
6.215,1
6.22,1
6.226,1
6.231,1
6.237,1
6.241,1
6.246,1
6.249,1
6.252,1
6.255,1
6.205,1
6.26,1
6.262,1
3.038,1
6.263,1
6.264,1
6.268,1
6.273,1
6.277,1
6.278,1
6.279,1
3.028,1
3.027,1
6.285,1
6.286,1
6.261,1
6.287,1
6.204,1
3.066,1
6.09,1
6.091,1
6.093,1
6.097,1
6.098,1
6.116,1
6.117,1
6.119,1
6.122,1
6.125,1
6.13,1
6.138,1
6.15,1
6.203,1
3.101,1
6.159,1
6.16,1
6.165,1
6.168,1
3.086,1
6.172,1
6.173,1
6.179,1
6.181,1
6.187,1
6.188,1
6.191,1
3.069,1
6.155,1
6.087,1
6.288,1
6.296,1
6.371,1
6.374,1
6.375,1
6.376,1
2.961,1
6.381,1
6.383,1
6.385,1
6.386,1
6.393,1
6.401,1
6.404,1
2.946,1
6.369,1
6.405,1
6.41,1
2.935,1
6.428,1
6.429,1
6.436,1
6.437,1
6.441,1
6.444,1
6.451,1
6.461,1
6.462,1
6.464,1
6.465,1
6.407,1
6.29,1
6.365,1
6.361,1
6.298,1
3.014,1
6.301,1
6.304,1
6.307,1
6.308,1
6.309,1
6.311,1
6.313,1
6.314,1
6.316,1
2.998,1
6.317,1
6.364,1
6.32,1
6.331,1
6.332,1
6.334,1
6.336,1
6.337,1
6.34,1
6.344,1
6.345,1
6.346,1
6.349,1
6.351,1
6.357,1
6.359,1
6.33,1
6.466,1
6.085,1
6.083,1
5.803,1
5.804,1
5.805,1
5.807,1
5.808,1
5.809,1
5.812,1
5.814,1
3.268,1
5.818,1
5.82,1
5.822,1
5.826,1
5.799,1
5.832,1
5.845,1
3.258,1
5.854,1
5.859,1
5.86,1
5.861,1
5.862,1
5.868,1
5.869,1
5.87,1
5.875,1
5.879,1
5.88,1
5.843,1
3.241,1
3.287,1
3.295,1
5.714,1
5.715,1
5.716,1
5.717,1
5.718,1
5.719,1
5.721,1
3.335,1
5.726,1
5.727,1
5.728,1
5.729,1
5.731,1
5.788,1
5.755,1
5.759,1
5.76,1
3.319,1
5.762,1
5.764,1
5.765,1
5.767,1
3.307,1
3.306,1
5.771,1
5.777,1
5.779,1
3.298,1
5.758,1
6.084,1
5.885,1
3.236,1
5.994,1
5.996,1
3.172,1
3.171,1
5.998,1
5.999,1
6.0,1
6.006,1
3.162,1
6.007,1
6.011,1
6.015,1
6.017,1
5.993,1
6.025,1
6.033,1
6.039,1
6.044,1
6.053,1
6.055,1
6.057,1
6.058,1
6.06,1
6.062,1
6.066,1
3.136,1
6.073,1
6.082,1
6.032,1
5.896,1
5.992,1
5.985,1
5.903,1
5.905,1
5.909,1
5.914,1
5.915,1
5.916,1
5.918,1
5.919,1
5.92,1
5.923,1
5.927,1
3.215,1
5.928,1
5.99,1
5.93,1
3.207,1
5.941,1
5.943,1
5.948,1
5.954,1
5.957,1
5.96,1
5.961,1
5.968,1
5.974,1
5.975,1
5.978,1
5.981,1
3.208,1
6.475,1
6.476,1
6.48,1
2.64,1
2.635,1
6.937,1
6.939,1
6.941,1
2.63,1
6.944,1
6.947,1
6.948,1
6.952,1
6.955,1
6.957,1
6.959,1
6.936,1
6.96,1
6.962,1
2.611,1
6.966,1
6.975,1
6.981,1
6.988,1
6.992,1
6.994,1
6.995,1
6.998,1
7.001,1
2.598,1
2.595,1
2.619,1
7.004,1
6.935,1
6.931,1
2.693,1
6.845,1
6.847,1
6.851,1
6.853,1
6.855,1
6.856,1
6.857,1
6.859,1
6.86,1
6.861,1
6.862,1
6.863,1
6.934,1
6.869,1
6.871,1
6.883,1
6.884,1
6.887,1
6.889,1
6.891,1
6.9,1
6.902,1
6.907,1
2.655,1
6.911,1
6.915,1
6.927,1
6.87,1
6.844,1
7.009,1
7.011,1
7.125,1
7.131,1
7.135,1
7.137,1
7.14,1
7.148,1
7.15,1
7.159,1
7.163,1
7.164,1
7.172,1
7.173,1
7.178,1
7.124,1
7.18,1
7.186,1
7.195,1
7.204,1
7.205,1
7.213,1
7.214,1
7.217,1
2.489,1
7.218,1
7.224,1
7.233,1
7.235,1
2.479,1
7.181,1
7.01,1
7.123,1
7.113,1
7.012,1
7.014,1
7.015,1
2.582,1
7.016,1
7.019,1
7.035,1
7.038,1
7.041,1
7.052,1
7.054,1
7.056,1
7.057,1
7.119,1
7.063,1
7.065,1
7.066,1
7.07,1
7.078,1
7.082,1
7.088,1
7.095,1
7.1,1
7.101,1
7.107,1
7.108,1
7.109,1
7.111,1
2.566,1
6.836,1
6.831,1
6.827,1
6.56,1
6.563,1
6.564,1
6.567,1
6.571,1
6.576,1
6.578,1
6.579,1
6.581,1
6.587,1
6.589,1
2.821,1
6.59,1
6.556,1
6.596,1
6.6,1
6.604,1
6.611,1
6.616,1
6.617,1
6.623,1
6.624,1
6.625,1
2.804,1
6.627,1
6.629,1
6.631,1
6.632,1
6.599,1
6.64,1
6.554,1
2.851,1
2.899,1
6.484,1
6.489,1
6.49,1
6.492,1
6.494,1
6.502,1
6.505,1
6.506,1
6.507,1
6.508,1
6.511,1
2.875,1
2.846,1
2.874,1
2.871,1
2.868,1
6.518,1
6.52,1
6.521,1
6.523,1
6.529,1
6.531,1
6.534,1
2.856,1
6.544,1
6.55,1
6.551,1
6.515,1
6.644,1
6.645,1
6.647,1
6.752,1
6.754,1
6.761,1
6.768,1
6.769,1
6.771,1
6.772,1
6.773,1
6.774,1
6.775,1
6.781,1
6.789,1
2.722,1
6.751,1
2.721,1
6.799,1
6.801,1
6.803,1
6.808,1
6.809,1
6.812,1
6.813,1
6.815,1
2.708,1
6.819,1
6.821,1
6.822,1
6.823,1
6.791,1
6.749,1
6.747,1
6.742,1
6.663,1
2.789,1
2.788,1
6.664,1
6.665,1
6.667,1
2.784,1
6.671,1
6.673,1
6.677,1
6.681,1
6.686,1
6.688,1
6.691,1
6.694,1
6.696,1
2.771,1
2.769,1
4.274,1
6.699,1
6.704,1
6.707,1
6.708,1
6.72,1
6.722,1
6.723,1
6.724,1
6.727,1
6.737,1
3.347,1
7.236,1
5.713,1
5.707,1
3.968,1
4.767,1
4.773,1
3.962,1
3.958,1
3.957,1
3.955,1
3.954,1
4.797,1
3.946,1
4.8,1
4.809,1
3.94,1
3.969,1
4.81,1
4.813,1
4.816,1
4.817,1
4.819,1
4.82,1
4.823,1
3.928,1
3.927,1
4.825,1
4.83,1
4.834,1
4.838,1
4.84,1
4.812,1
4.844,1
4.764,1
4.753,1
4.678,1
4.68,1
4.02,1
4.019,1
4.014,1
4.687,1
4.011,1
4.01,1
4.697,1
4.699,1
4.005,1
4.003,1
4.709,1
3.973,1
3.998,1
4.711,1
4.719,1
4.721,1
4.724,1
3.992,1
4.729,1
4.73,1
4.736,1
3.986,1
4.739,1
4.744,1
4.75,1
4.752,1
4.71,1
4.673,1
3.912,1
4.858,1
4.947,1
4.948,1
4.954,1
3.837,1
4.955,1
4.957,1
4.958,1
4.964,1
4.967,1
4.974,1
4.975,1
4.976,1
4.978,1
4.941,1
3.824,1
3.822,1
4.982,1
4.983,1
4.985,1
4.988,1
3.814,1
4.994,1
4.996,1
4.997,1
4.998,1
5.002,1
5.006,1
5.011,1
4.98,1
4.854,1
4.935,1
3.853,1
4.861,1
3.9,1
4.877,1
4.879,1
3.897,1
3.895,1
4.884,1
4.889,1
4.89,1
3.889,1
4.899,1
4.9,1
3.886,1
3.851,1
4.903,1
4.904,1
3.879,1
4.908,1
4.91,1
4.917,1
3.868,1
4.922,1
3.864,1
3.863,1
4.923,1
4.925,1
4.927,1
4.931,1
3.882,1
5.016,1
4.026,1
4.667,1
4.385,1
4.388,1
4.201,1
4.393,1
4.405,1
93.208,1
4.412,1
4.193,1
4.423,1
4.426,1
4.428,1
4.185,1
4.441,1
4.383,1
4.181,1
4.445,1
4.446,1
4.448,1
4.451,1
4.175,1
4.174,1
4.453,1
4.166,1
4.165,1
4.164,1
4.157,1
4.156,1
4.155,1
4.18,1
4.483,1
4.381,1
4.21,1
4.279,1
4.263,1
4.258,1
4.256,1
4.292,1
4.299,1
4.312,1
4.246,1
4.314,1
4.315,1
4.318,1
4.319,1
4.325,1
4.379,1
4.333,1
4.232,1
4.228,1
4.344,1
4.345,1
4.347,1
4.348,1
4.356,1
4.22,1
4.362,1
4.216,1
4.215,1
4.212,1
4.378,1
4.336,1
4.672,1
4.153,1
4.488,1
4.086,1
4.594,1
4.597,1
4.6,1
4.08,1
4.608,1
4.61,1
4.611,1
4.612,1
4.619,1
4.065,1
4.064,1
4.626,1
4.087,1
4.631,1
4.632,1
4.635,1
4.636,1
4.054,1
4.639,1
4.641,1
4.642,1
4.649,1
4.65,1
4.652,1
4.042,1
4.654,1
4.656,1
4.06,1
4.486,1
4.591,1
4.091,1
4.489,1
4.147,1
4.492,1
4.495,1
4.5,1
4.505,1
4.506,1
4.513,1
4.514,1
4.516,1
4.52,1
4.521,1
4.523,1
4.588,1
4.526,1
4.531,1
4.535,1
4.538,1
4.54,1
4.55,1
4.109,1
4.107,1
4.555,1
4.571,1
4.099,1
4.578,1
4.579,1
4.581,1
4.53,1
3.794,1
5.025,1
5.028,1
5.483,1
5.484,1
5.488,1
3.502,1
5.489,1
5.491,1
3.499,1
5.492,1
5.493,1
5.495,1
3.493,1
5.497,1
5.5,1
5.476,1
3.49,1
3.486,1
5.509,1
5.511,1
5.516,1
5.517,1
5.518,1
5.52,1
3.474,1
5.528,1
5.532,1
5.538,1
5.54,1
5.541,1
5.506,1
5.545,1
5.474,1
3.512,1
3.555,1
5.421,1
3.55,1
3.549,1
3.548,1
5.431,1
5.435,1
5.436,1
5.439,1
5.446,1
3.538,1
5.447,1
5.448,1
5.473,1
5.453,1
5.454,1
3.531,1
5.455,1
5.459,1
5.46,1
5.463,1
5.464,1
5.465,1
5.466,1
5.469,1
5.471,1
3.514,1
5.472,1
3.533,1
3.556,1
5.546,1
5.551,1
5.637,1
5.638,1
5.639,1
5.641,1
5.643,1
3.389,1
3.387,1
5.646,1
5.648,1
5.654,1
5.655,1
5.664,1
5.666,1
5.634,1
5.67,1
5.674,1
5.675,1
5.678,1
5.683,1
5.685,1
5.686,1
5.687,1
5.688,1
5.689,1
5.701,1
5.702,1
3.355,1
3.354,1
5.672,1
5.547,1
5.627,1
5.623,1
5.553,1
5.557,1
5.559,1
5.561,1
3.447,1
5.57,1
5.574,1
3.441,1
5.579,1
3.437,1
5.584,1
3.435,1
5.585,1
5.626,1
5.586,1
5.588,1
5.591,1
5.595,1
5.603,1
5.606,1
5.608,1
5.612,1
5.613,1
5.614,1
3.414,1
3.413,1
5.615,1
5.617,1
5.587,1
5.418,1
5.416,1
5.415,1
3.718,1
5.165,1
5.166,1
5.173,1
5.177,1
3.711,1
5.178,1
5.179,1
3.705,1
5.187,1
3.701,1
5.189,1
5.19,1
5.161,1
5.193,1
5.196,1
5.197,1
3.694,1
5.204,1
5.209,1
5.212,1
5.214,1
5.217,1
5.218,1
5.229,1
5.231,1
5.232,1
3.679,1
5.194,1
5.235,1
5.16,1
5.152,1
5.029,1
3.788,1
3.787,1
5.031,1
3.784,1
5.037,1
5.038,1
3.777,1
3.775,1
5.066,1
5.069,1
3.765,1
