longitude,latitude
121.357,31.388
121.489,31.271
121.405,31.248
121.471,31.325
121.418,31.288
121.468,31.233
121.447,31.192
121.376,31.233
121.532,31.323
121.447,31.318
121.51,31.304
121.439,31.193
121.442,31.297
121.558,31.272
121.523,31.321
121.432,31.356
121.584,31.246
121.473,31.273000000000003
121.437,31.263
121.427,31.303
121.45,31.197
121.383,31.187
121.368,31.272
121.427,31.184
121.541,31.311
121.38,31.251
121.367,31.237
121.501,31.335
121.47,31.19
121.502,31.309
121.489,31.153
121.42,31.176
121.319,31.241
121.484,31.236
121.417,31.272
121.484,31.263
121.489,31.294
121.5,31.308000000000003
121.47,31.306
121.414,31.142
121.434,31.168000000000006
121.441,31.304
121.439,31.327
121.424,31.27
121.43,31.208
121.352,31.172
121.275,31.169
121.476,31.292
121.444,31.314
121.593,31.282
121.51,31.262
121.328,31.144
121.375,31.298
121.515,31.309
121.441,31.331
121.527,31.328000000000007
121.446,31.133000000000006
121.374,31.185
121.528,31.279
121.541,31.318
121.522,31.329
121.526,31.252
121.57,31.115
121.46,31.215
121.484,31.234
121.453,31.19
121.365,31.227
121.48,31.334
121.518,31.203000000000007
121.473,31.211
121.404,31.213
121.602,31.284
121.479,31.311
121.482,31.244
121.488,31.338
121.422,31.35
121.492,31.262
121.374,31.322
121.443,31.281
121.356,31.225
121.434,31.174
121.477,31.207
121.525,31.187
121.361,31.214
121.476,31.206
121.53,31.214
121.465,31.277
121.487,31.253
121.464,31.221
121.426,31.23
121.443,31.196
121.43,31.22
121.37,31.232
121.509,31.271
121.339,31.252
121.479,31.311
121.43,31.22
121.372,31.215
121.345,31.277
121.528,31.324
121.32,31.24
121.382,31.232
121.506,31.321
121.501,31.275
121.483,31.209
121.388,31.262
121.416,31.293000000000006
121.475,31.245
121.484,31.305
121.445,31.191
121.38,31.243
121.409,31.177
121.498,31.292
121.351,31.286
121.486,31.3
121.414,31.271
121.479,31.269
121.544,31.268
121.355,31.166
121.537,31.301
121.506,31.308000000000003
121.301,31.271
121.353,31.346
121.531,31.28
121.525,31.309
121.513,31.291
121.495,31.144
121.385,31.11
121.501,31.208
121.459,31.211
121.412,31.272
121.374,31.247
121.489,31.32
121.492,31.215
121.327,31.287
121.429,31.192
121.396,31.187
121.482,31.226
121.491,31.276
121.44,31.213
121.422,31.26
121.529,31.279
121.438,31.304
121.479,31.263
121.506,31.329
121.432,31.168000000000006
121.398,31.277
121.389,31.069000000000006
121.443,31.157
121.509,31.289
121.453,31.27
121.55,31.225
121.433,31.202
121.438,31.281
121.415,31.2
121.419,31.275
121.483,31.221
121.434,31.239
121.363,31.132
121.4,31.135
121.51,31.253
121.389,31.103
121.435,31.215
121.459,31.22
121.479,31.311
121.409,31.179
121.538,31.32
121.423,31.268
121.49,31.265
121.527,31.264
121.373,31.313
121.441,31.225
121.494,31.208
121.446,31.217
121.43,31.21
121.393,31.34
121.437,31.338
121.474,31.315
121.544,31.285
121.483,31.213
121.481,31.344
121.365,31.238000000000003
121.406,31.23
121.376,31.25
121.538,31.323
121.43,31.227
121.46,31.257
121.513,31.296
121.419,31.289
121.505,31.316
121.48,31.224
121.474,31.334
121.435,31.201
121.526,31.316
121.328,31.183000000000003
121.533,31.268
121.427,31.269
121.438,31.228
121.485,31.302
121.333,31.258000000000006
121.459,31.254
121.493,31.23
121.516,31.28
121.556,31.286
121.42,31.198
121.453,31.334
121.444,31.258000000000006
121.397,31.247
121.521,31.291
121.528,31.309
121.53,31.308000000000003
121.468,31.27
121.378,31.233
121.53,31.261
121.435,31.197
121.545,31.285
121.415,31.2
121.531,31.309
121.539,31.286
121.479,31.307
121.42,31.121
121.497,31.3
121.422,31.266
121.514,31.277
121.59,31.26
121.482,31.203000000000007
121.532,31.317
121.367,31.214
121.485,31.202
121.518,31.294
121.433,31.286
121.371,31.248
121.434,31.168000000000006
121.392,31.091
121.475,31.323
121.506,31.302
121.544,31.273000000000003
121.538,31.277
121.406,31.238000000000003
121.504,31.273000000000003
121.392,31.268
121.445,31.196
121.491,31.27
121.534,31.331
121.484,31.323
121.48,31.269
121.444,31.266
121.468,31.327
121.461,31.33
121.459,31.255
121.535,31.243
121.46,31.274
121.455,31.308000000000003
121.454,31.22
121.534,31.269
121.53,31.328000000000007
121.474,31.331
121.376,31.271
121.487,31.253
121.328,31.269
121.555,31.286
121.397,31.256
121.451,31.313
121.51,31.25
121.457,31.337
121.454,31.223000000000006
121.444,31.214
121.536,31.285
121.446,31.225
121.335,31.268
121.428,31.303
121.481,31.221
121.481,31.201
121.422,31.274
121.424,31.183000000000003
121.49,31.184
121.441,31.253
121.435,31.136
121.54,31.318
121.46,31.306
121.303,31.287
121.505,31.303
121.525,31.187
121.448,31.307
121.319,31.241
121.486,31.342
121.483,31.32
121.483,31.206
121.535,31.262
121.421,31.24
121.454,31.153
121.503,31.308000000000003
121.384,31.275
121.532,31.323
121.517,31.294
121.43,31.212
121.44,31.258000000000006
121.35,31.195
121.378,31.271
121.453,31.279
121.483,31.32
121.434,31.167
121.415,31.13
121.53,31.302
121.506,31.304
121.487,31.25
121.515,31.269
121.47,31.279
121.506,31.268
121.586,31.262
121.463,31.181
121.379,31.193
121.409,31.231
121.372,31.344
121.476,31.233
121.309,31.208
121.536,31.321
121.438,31.34
121.442,31.308000000000003
121.513,31.197
121.362,31.252
121.502,31.286
121.47,31.18
121.44,31.312
121.428,31.279
121.494,31.336
121.468,31.324
121.428,31.13
121.354,31.22
121.467,31.195
121.447,31.161
121.47,31.25
121.456,31.34
121.517,31.301
121.542,31.267
121.431,31.246
121.503,31.341
121.457,31.24
121.32,31.283
121.416,31.217
121.432,31.265
121.455,31.151
121.459,31.259
121.485,31.319000000000006
